name,bio
Fyodor_Dostoyevsky,"Fyodor Mikhailovich Dostoevsky was born on November 11, 1821, in
Moscow, Russia. He was the second of seven children of Mikhail
Andreevich and Maria Dostoevsky. His father, a doctor, was a member of
the Russian nobility, owned serfs and had a considerable estate near
Moscow where he lived with his family. It's believed that he was
murdered by his own serfs in revenge for the violence he would commit
against them while in drunken rages. As a child Fyodor was traumatized
when he witnessed the rape of a young female serf and suffered from
epileptic seizures. He was sent to a boarding school, where he studied
sciences, languages and literature. He was devastated when his favorite
writer, Alexander Pushkin, was killed
in a duel in St. Petersburg in 1837. That same year Dostoevsky's mother
died, and he moved to St. Petersburg. There he graduated from the
Military Engineering Academy, and served in the Tsar's government for a
year.Dostoevsky was active in St. Petersburg literary life; he grew out of
his early influence by Nikolay Gogol,
translated ""Eugenia Grande"" by
Honoré de Balzac in 1844 and published
his own first novel, ""Poor Folk"", in 1845, and became friends with
Ivan Turgenev and
Nikolai A. Nekrasov, but it ended
abruptly after they criticized his writing. At that time he became
indirectly involved in a revolutionary movement, for which he was
arrested in 1849, convicted of treason and sentenced to death. His
execution was scheduled for a freezing winter day in St. Petersburg,
and at the appointed hour he was blindfolded and ordered to stand
before the firing squad, waiting to be shot. The execution was called
off at the last minute, however, and his sentence was commuted to a
prison term and exile in Siberia, where his health declined amid
increased epileptic seizures. After serving ten years in prison and
exile, he regained his title in the nobility and returned to St.
Petersburg with permission from the Tsar. He abandoned his formerly
liberal views and became increasingly conservative and religious. That,
however, didn't stop him from developing an acute gambling problem, and
he accumulated massive gambling debts.In 1862, after returning from his first major tour of Western Europe,
Dostoevsky wrote that ""Russia needs to be reformed, by learning the new
ideas that are developing in Europe."" On his next trip to Europe, in
1863, he spent all of his money on a manipulative woman, A. Suslova,
went on a losing gambling spree, returned home flat broke and sank into
a depression. At that time he wrote ""Notes from Underground"" (1864),
preceding existentialism in literature. His first wife died in 1864,
after six years of a childless marriage, and he adopted her son from
her previous marriage. Painful experiences caused him to fall further
into depression, but it was during this period that he wrote what many
consider his finest work: ""Crime and Punishment"" (1866).After completion of ""The Gambler"" (1867), the 47-year-old Dostoevsky
married his loyal friend and literary secretary, 20-year-old Anna
Snitkina, and they had four children. His first baby died at three
months of age, causing him to sink further into depression and
triggering more epileptic seizures. At that time Dostoevsky expressed
his disillusionment with the Utopian ideas in his novels ""The Idiot""
(1868) and ""The Devils"" (aka ""The Possessed"") (1871), where the ""devils""
are destructive people, such as revolutionaries and terrorists.
Dostoevsky was the main speaker at the opening of the monument to
Alexander Pushkin in 1880, calling Pushkin a ""wandering Russian,
searching for universal happiness"". In his final great novel, ""The
Brothers Karamazov"" (1880), Dostoevsky revealed the components of his
own split personality, depicted in four main characters; humble monk
Alyosha, compulsive gambler Dmitri, rebellious intellectual Ivan, and
their cynical father Fyodor Karamazov.Dostoevsky died on February 9, 1881, of a lung hemorrhage caused by
emphysema and epileptic seizures. He lived his entire life under the
pall of epilepsy, much like the mythical ""Sword of Damocles"", and was
fearless in telling the truth. His writings are an uncanny reflection
on his own life - the fate of a genius in Russia."
Dante_Alighieri,"Dante Alighieri was born in 1265 into the lower nobility of Florence,
to Alighiero di Bellincione d'Alighiero, a moneylender. A precocious
student, Dante's education focused on rhetoric and grammar. He also
became enamored with a young girl, Beatrice Portinari, whose death in
1290 threw a grieving Dante into intense religious studies. Though the
Alighieri family had managed to avoid entanglement in the power
struggles between the Ghibelline and Guelf families for control of
Florence, Dante allied himself with the democratic Guelfs and married a
member of that clan, Gemma di Manetto Donati, in 1285.After serving in the Guelf forces as a cavalryman in the Battle of
Campaldino, Dante enrolled in the Guild of Doctors and Pharmacists and
became politically active. He became an ambassador and a prior, but
after finding himself on the opposite side of the political party in
power he was forced to flee Florence in 1301, never able to return to
the city of his birth. He narrowly escaped being executed for treason.Dante left for Verona and Ravenna, where he was joined by his children.
He then wrote his most famous work, ""Commedia"", not in scholarly Latin
but in the vernacular Italian of the time, giving his countrymen a
literature of their own. In it he would resurrect the love of his
youth, Beatrice, giving her a place among the angels. This work would
also take the author, escorted by the Roman poet
Publius Vergilius Maro, on a
grand tour to Hell and Purgatory, and later by his beloved Beatrice to
Paradise. History would later judge Dante's creation to be divine.
Dante Alighieri died in 1321 and was buried in Ravenna. Three
sons--Pietro, Jacopo and Giovanni--and a daughter, Antonia, survived
him."
Lev_Tolstoy,"Count Lev Nikolaevich Tolstoy was born on September 9, 1828, in his
ancestral estate Yasnaya Polyana, South of Moscow, Russia. He was the
fourth of five children in a wealthy family of Russian landed Gentry.
His parents died when he was a child, and he was brought up by his
elder brothers and relatives.Leo Tolstoy studied languages and law at Kazan University for three
years. He was dissatisfied with the school and left Kazan without a
degree, returned to his estate and educated himself independently. In
1848 he moved to the capital, St. Petersburg, and there passed two
tests for a law degree. He was abruptly called to return to his estate
near Moscow, where he inherited 4000 acres of land and 350 serfs. There
Tolstoy built a school for his serfs, and acted as a teacher. He
briefly went to a Medical School in Moscow, but lost a fortune in
gambling, and was pulled out by his brother. He took military training,
became an Army officer, and moved to the Caucasus, where he lived a
simple life for three years with Cossacs. There he wrote his first
novel - ""Childhood"" (1852), it became a success. With writing ""Boyhood""
(1854) and ""Youth"" (1857) he concluded the autobiographical trilogy. In
the Crimean War (1854-55) Tolstoy served as artillery commander in the
Battle of Sevastopol, and was decorated for his courage. Between the
battles he wrote three stories titled ""Sevastopol Sketches"", that won
him wide attention, and a complement from the Czar Aleksandr II.After the war, Tolstoy returned to St. Petersburg, where he enjoyed the
friendship of Ivan Turgenev, Nikolai A. Nekrasov, Ivan Goncharov, and other writers. On his
trips to Europe, he had discussions with Gertsen in London, and
attended Darwin's lectures. In Brussels he had meetings with
philosophers Prudhon and Lelewel. Tolstoy undertook a research of
schools in Europe, and later he built and organized over 20 schools for
poor people in Russia. At that time the secret police began
surveillance, and searched his home. In 1862 he married Sofia Andreevna
Bers, and fathered 13 children with his wife. Four of their babies
died, and the couple raised the remaining nine children. His wife was
also his literary secretary, and also contributed to his best works,
""War and Peace"" (1863-69) and ""Anna Karenina"" (1873-77). In his
""Confession"" (1879) Tolstoy revealed his own version of Christianity,
blended with socialism, that won him many followers. Tolstoyan
communities sprang up in America and Europe, and he assisted the
Russian non-Orthodox Christians (Dukhobors) in migrating to USA and
Canada. He split from aristocratic class and developed an ascetic
lifestyle, becoming a vegetarian, and a farmer. He sponsored and
organized free meals for the poor. He transfered his copyright on all
of his writings after 1880 to public domain. In his later age Tolstoy
was pursuing the path of a wandering ascetic. He corresponded with
Mohandas K. Gandhi, who was directly influenced by Tolstoy's ""The Kingdom of God
is Within You"" (1894), which was praised by many nonviolent movements.In 1900 Tolstoy criticized the Tsar's government in a series of
publications, calling for separation of Chuch and State. Tsar Nicholas II
retaliated through the Church, by expulsion of Tolstoy from Orthodox
Cristianity as a ""heretic"". He fell ill, and suffered from a severe
depression; he was suicidal and even had to eliminate all hunting guns
from his home, because of his suicidal mode. He was treated by the
famous doctor Dahl, and was visited by composer Sergei Rachmaninoff and basso
Feodor Chaliapin Sr., who performed for Tolstoy on many occasions. Later he went to
convalesce in Yalta, in Crimea, where he spent time with Anton Chekhov and
Maxim Gorky. Tolstoy was an obvious candidate for the Nobel Prize in
Literature, but was initially omitted by the Nobel Committee for his
views. The omission caused a strong response from a group of Swedish
writers and artists. They sent an address to Tolstoy, but the writer
answered by declining any future prize nomination.In 1902 Tolstoy wrote a letter to the Tsar, calling for social justice,
to prevent a civil war, and in 1904, during the Russo-Japanese War,
Tolstoy wrote a condemnation of war. The Tsar replied by increasing
police surveillance on Tolstoy. In November of 1910 he left his estate,
probably taking the path of a wandering ascetic, which he had been
pursuing for decades. He left home without explanations and took a
train, in which he caught pneumonia, and died at a remote station of
Astapovo. He was laid to rest in his estate of Yasnaya Polyana, which
was made a Tolstoy National Museum.His youngest daughter, named Alexandra Tolstoy, was the director of the Tolstoy
Museum, and was arrested by the Communists five times. She emigrated
from Russia to the United States, where she founded the Tolstoy
Foundation. She helped many prominent Russian intellectuals, such as
Vladimir Nabokov and Sergei Rachmaninoff among many others."
Victor_Hugo,"Although Hugo was fascinated by poems from childhood on, he spent some
time at the polytechnic university of Paris until he dedicated all his
work to literature. He was one of the few authors who were allowed to
reach popularity during his own lifetime and one of the leaders of French
romance.After the death of his daughter Leopoldine in 1843, he started a
career in politics and became member of the Paris chamber where he
fought for leftist ideas. After the re-establishing of monarchy, he had to
go into exile to Guernesey (1851-1870) where his literary work became
more important, e.g. ""Les Miserables"" was written during that period.
After his return to Paris he did not join politics anymore."
William_Shakespeare,"William Shakespeare's birthdate is assumed from his baptism on April 25. His father John was the son of a farmer who became a
successful tradesman; his mother Mary Arden was gentry. He studied
Latin works at Stratford Grammar School, leaving at about age 15. About
this time his father suffered an unknown financial setback, though the
family home remained in his possession. An affair with Anne Hathaway,
eight years his senior and a nearby farmer's daughter, led to pregnancy
and a hasty marriage late in 1582. Susanna was born in May of 1583,
twins Hamnet and Judith in January of 1585. By 1592 he was an
established actor and playwright in London though his ""career path""
afterward (fugitive? butcher? soldier? actor?) is highly debated. When
plague closed the London theatres for two years he apparently toured;
he also wrote two long poems, ""Venus and Adonis"" and ""The Rape of
Lucrece"". He may have spent this time at the estate of the Earl of
Southampton. By December 1594 he was back in London as a member of the
Lord Chamberlain's Men, the company he stayed with the rest of his
life. In 1596 he seems to have purchased a coat of arms for his father;
the same year Hamnet died at age 11. The following year he purchased
the grand Stratford mansion New Place. A 1598 edition of ""Love's
Labors"" was the first to bear his name, though he was already
regarded as England's greatest playwright. He is believed to have
written his ""Sonnets"" during the 1590s. In 1599 he became a partner in
the new Globe Theatre, the company of which joined the royal household
on the accession of James in 1603. That is the last year in which he
appeared in a cast list. He seems to have retired to Stratford in 1612,
where he continued to be active in real estate investment. The cause of
his death is unknown."
Johann_Wolfgang_Von_Goethe,"Johann Wolfgang Goethe was born on 28 August 1749 in Frankfurt am Main,
Germany as son of a lawyer. After growing up in a privileged upper
middle class family, he studied law in Leipzig from 1765 to 1768,
although he was more interested in literature. As he was seriously ill,
he had to interrupt his studies, but finally graduated in Strassburg
with a degree in law. In the following years, his novel ""The Sorrows of
Young Werther"" (1774) became one of the first bestsellers, making him a
key author in the ""Sturm und Drang"" (Storm and Stress) movement. In
1775, he settled down in Weimar, being the Duke's adviser and writing
popular dramas such as ""Egmont"" or ""Torquato Tasso"". One of his life's
important milestones was the Italian Journey from 1786 and 1788, where
he discovered his interest in Greek and Roman classicism. After his
return to Germany, he began the ""Weimar Classicism"" movement with his
good friend Friedrich Schiller, concentrating on poems and dramas such as his best
known work ""Faust"", which he published in two parts (1808/1832). Beside
his literary work, he contributed many interesting theories to
sciences, making him Germany's leading polymath in that period. On 22
March 1832, he died in Weimar, the town he had lived for more than
fifty years."
Miguel_De_Cervantes_Saavedra,"Miguel de Cervantes' baptism occurred on October 9, 1547, at Alcala de
Henares, Spain, so it is reasonable to assume he was born around that
time, and Alcala de Henares has long claimed itself as his birthplace.
The son of Rodrigo de Cervantes, an itinerant and not-too-successful
surgeon, Miguel was educated by monks as he and his family wandered
from city to city. In 1570 he obtained a position as a kind of
secretary to Cardinal Aquaviva in Rome. In 1571 he became a soldier and
fought in the famous Battle of Lepanto that pitted Spain against
Turkish forces. Being ill with fever at the time, and wishing to prove
his bravery, he asked to be put in the most dangerous fighting position
on his ship. He was, and received two wounds in the chest and one in
his left hand, which rendered him disabled for life. Returning home
with his brother Rodrigo in 1575, they were captured by the Barbary
pirates and sold into slavery. He and his fellow captives made three
attempts to escape, all unsuccessful - one because they were betrayed
by a fellow captive. In each attempt Cervantes deliberately shouldered
the blame on himself, in an attempt to shield his fellow captives from
torture. The Turkish Bey was so impressed with his perhaps foolhardy
audacity that he spared him each time. The Cervantes family was able to
ransom Rodrigo but not Miguel, and he remained in captivity until 1580,
when he was finally ransomed by two Trinitarian friars.He then began a writing career, which was at first completely
unsuccessful due to the fact that Cervantes deliberately tried to write
the kind of plays and poetry popular at the time, and to imitate their
style, something he was woefully inadequate at doing. He fathered a
daughter out of wedlock, and entered into an unhappy marriage in 1584.
He took on a series of odd jobs to make ends meet. His financial
difficulties netted him three or more prison terms and an
excommunication by the Spanish Inquisition, although it was clear he
never committed any crimes. Finally, in 1605, he published the first
part of the novel which gave him immortality, the brilliant and
unforgettable ""Don Quixote de La Mancha"", which was supposed to be a
satire on the chivalric novels of the time, but was actually a work
unlike anything anyone else had ever written (the second part followed
ten years later, after the success of the first had produced a
plagiarized sequel that not only coarsened the satire but contained
openly insulting remarks about Cervantes). ""Don Quixote""'s surface
seems comic, but Cervantes, finally writing in his own personal style
and no one else's, created two characters, Don Quixote and Sancho
Panza, to whom he gives more multi-layered depth than anyone else up to
that time had given characters, except possibly the depth that
William Shakespeare had
given to Hamlet. The novel ""Don Quixote"" itself becomes an ironic
mixture of comedy, humiliation, disillusionment and tragedy. All of its
characters, except those in the interpolated romance novels, are
believable and each reacts to Don Quixote's madness in an illuminating
way. ""Don Quixote"" was immensely successful in its time, but it did not
make Cervantes a wealthy man.His other highly regarded works are his collection of ""Exemplary
Stories"", published in 1613, and his ""Eight Interludes"", published in
1615. He died of dropsy on April 23, 1616, but in an especially ironic
twist, his gravesite is lost. His contemporary, William Shakespeare,
died ten days later, which according to the Julian calendar then used
in England was, coincidentally, also April 23, 1616. Strangely enough,
to the end of his life, Cervantes valued his poetic work more highly
than his prose (perhaps just a case of wishful thinking) and never
considered ""Don Quixote"" his masterpiece. He died without knowing that
it would be one day regarded as the world's greatest novel by many
critics."
Italo_Calvino,"Italo Calvino was born on 15 October 1923 in Santiago de Las Vegas, Cuba. He was a writer, known for Боккаччо 70 (1962), Ti-Koyo e il suo pescecane (1962) and L'amore difficile (1962). He was married to Esther Calvino. He died on 19 September 1985 in Siena, Tuscany, Italy."
Stendhal,"A foremost French writer of the Romantic era, Stendhal was born
Marie-Henri Beyle in Grenoble, France in 1783. A loyal Bonapartist he
followed Napoleon closely during his military campaigns Stendhal's
novels reflect his intense love of Italy, his political convictions and
the moral and philosophical dilemmas of his time. His most popular
works Le Rouge et le Noir and La Chartreuse de Parme have been
transfered to the screen several time and show an immediacy which
transcends centuries."
Charles_Baudelaire,"Charles Baudelaire was a 19th century French poet, translator, and
literary/art critic. At his birth, Baudelaire's mother, Caroline
Archimbaut-Dufays, was 28; his father Francois Baudelaire was 61.
Charles' father instilled in him an appreciation for art, taking his
young son to museums and galleries, and teaching him to paint. When
Charles was six, his father died and Charles became very attached to
his mother, but when she remarried, he was sent to boarding school. The
school was ruled by military discipline which caused much of
Baudelaire's solitude and fits of crushing melancholy. Baudelaire
resented the strictures of his life and was, in turn, difficult and
rebellious. He frequently fought with students and teachers. He began
to write poems, which were not well received by his masters, who felt
them examples of precocious depravity, unsuitable for his age. He
eventually attended the College Louis-le-Grand, but was expelled in
April 1839.In an attempt to draw him away from the company he was keeping,
Baudelaire's stepfather sent him on a voyage to India in 1841.
Baudelaire jumped ship and eventually made his way back to France in
February of 1842. On his 21st birthday, Baudelaire received his
father's inheritance, but his lavish and extravagant lifestyle
(including use of hashish and opium) dwindled his fortune. He fell prey
to cheats and moneylenders, which led to heavy debt. He also contracted
the venereal disease that eventually took his life. His parents
obtained a court order to supervise his money and Charles received only
a small allowance. In 1842, Charles met a Creole woman named Jeanne
Duval, who became his mistress and dominated his life for the next 20
years. Jeanne would inspire Baudelaire's most anguished and sensual
love poetry, provoking such masterpieces of the exotic-erotic
imagination as ""La Chevelure"" (""The Head of Hair"").Baudelaire used his writing to shock and astonish society, likely
because of his strict upbringing and strong opposition to authority. He
often focused on the immoral and cynical. He felt that his ideas where
very similar to those of Edgar Allen Poe, who focused on beauty, death,
and the bizarre. Baudelaire began to translate volumes of Poe's work
into French, and much of Poe's popularity in England and France is
attributed to Baudelaire. In 1857, Baudelaire's most well-known work,
""Les Fleurs Du Mal"" (""The Flowers of Evil"") was seized by French
authorities and Baudelaire was forced to omit six poems and pay a fine;
today, it stands as perhaps the most influential poetry collection
published in Europe in the 19th century. He continued to publish
""salon"" studies and critical reviews of other artists, including
Flaubert's ""Madame Bovary"". In 1860, he began publishing prose poetry,
a poetic form unknown in France, and became renowned for his innovation
in prose experiments.Near the end of his life, Baudelaire's agonizing moods of isolation and
despair, which he called his moods of ""spleen,"" returned and became
more frequent. In 1867, while in Belgium, Baudelaire developed
hemiplegia and aphasia. He was brought back to Paris, where he
died."
